,Unnamed: 0,docid,text_data,dupe_count
27,1855091,7377167,"Chairman Pai’s proposed plan to repeal net neutrality protections would put a huge burden on microbusinesses like mine.

As an Etsy seller, net neutrality is essential to the success of my business and my ability to care for myself and my family. The FCC needs to ensure equal opportunities for microbusinesses to compete with larger and more established brands by upholding net neutrality protections.

Etsy has opened the door for me and 1.8 million other sellers to turn our passion into a business by connecting us to a global market of buyers. For 32% of creative entrepreneurs on the platform, our creative business is our sole occupation. A decrease in sales in the internet slow lane or higher cost to participate in Chairman Pai’s pay-to-play environment would create significant obstacles for me and other Etsy sellers to care for ourselves and our families.

Moreover, 87% of Etsy sellers in the U.S. are women, and most run their microbusinesses out of their homes. By rolling back the bright line rules that ensure net neutrality, Chairman Pai is not only taking away our livelihood, he is also putting up barriers to entrepreneurship for a whole cohort of Americans.

My business growth depends on equal access to consumers. Any rule that allows broadband providers to negotiate special deals with some companies would undermine my ability to compete online.

We need a free and open internet that works for everyone, not just telecom companies that stand to benefit from the FCC’s proposed rules.

I'm sending this to the FCC's open proceeding and to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II and microbusinesses like mine.

Thank you!
Angela Clews",-1.0
29,159634,282824,I am extremely disappointed that you would choose to side with corporations on this. Do the right thing.,-1.0
31,1757297,7105391,"I am a person who relies on an open internet for recreation, connecting with family and friends, and most importantly, education.  The internet is a limitless source of knowledge and, no matter the subject, we can not have internet service providers dictating what information reaches us the fastest.  I live in the city of Buffalo, NY and Time Warner already has great control over our internet availability.   As far as I'm concerned, availability of a free internet should be the right of every American citizen and we citizens need it to be protected.

Thank you",-1.0
32,2895777,16065700,"I am in favor of strong net neutrality under Title II of the Telecommunications Act.


Sincerely,
Margaret Longfellow",-1.0
33,2360110,9014773,"The internet is new enough that is still inherently neutral - there are few spaces in the world that truly are, and I think accessibility and equality are important. Companies have plenty of ways to leverage support and attract customers - please do not make the internet another place where those same principles apply. Maintain net neutrality. Thank you.",-1.0
34,2294108,8407386,"Internet freedom is necessary to prevent monopolistic behavior from corporations who's only incentive is profit. Net neutrality must remain as internet usage is essential and a daily aspect of life to all U.S. citizens.
Rodney Harris",-1.0
35,1657596,5023040,ISP's are not in a good position to decide which content is the most desirable or true. There must be room for all information on the internet. Please keep Net Neutrality.,-1.0
37,2420714,9774263,"I am in favor of strong net neutrality under Title II of the Telecommunications Act.


Sincerely,
Ashley Reid",-1.0
38,73657,159296,"Against, Against, Against",-1.0
41,1911470,7550143,"Hello there. I am an avid user of most things that the internet has to offer for both recreational as well as work and school related purposes. I feel that with technology becoming such an integral part of our society, letting certain companies be in control of our internet usage would be very limiting to most of the population. With the internet has come a surge of information at our fingertips, and allowing companies to control this would be akin to having all the knowledge in the world, but having someone else tell you that you cannot access it unless they say so. I believe that one of the most important things about the internet is the fact that anyone can access it and view just about anything that they wish in order to get all of the information that they desire. It is in my belief that the internet should be free and unregulated just as it has always been.",-1.0
42,2358410,9012352,"As a teenager, Net Neutrality is vital for my schoolwork as well as private life.  Net Neutrality is the reason why the US was created:  freedom without restrictions or montering.  Thank you for taking the time to consider this.",-1.0
44,379823,1083564,I strongly support preserving Net Neutrality and Title II oversight of ISPs.,-1.0
46,1783767,7221709,KEEP NET NEUTRALITY! private enterprises should not be able to regulate a necessity such as internet access. It would take our civilization back a few notches by reducing access to information.,-1.0
48,1912905,7555323,I support net neutrality. I do not support any of the proposed changes to the internet.,-1.0
50,179494,335716,Please keep ISP's under Title II and maintain net neutrality. Do not change the regulations. Protect the people of our country and don't cater to the big businesses at the expense of democracy and fairness.,-1.0
55,1900332,7513771,I support strong net neutrality back by title II oversight of ISPs,-1.0
58,238700,439893,The Internet has become an integral part of our lives in performing the everyday routine acts of living. The ability to freely accomplish this is vital and necessary.  The net has to be Neutral (FREE) from the interference to perform these functions.,-1.0
59,2350166,8989807,"Keep Ne Neutrality!

Cable and phone companies provide access to the internet. They're telecommunications carriers. They do not (and should not) have the right to censor or slow down my speech and my access to online content. When I use my broadband service, I decide who I communicate with and what information I transmit. I want the FCC to retain the ability to stop my internet service provider from interfering with my communications choices. The courts have already told the FCC that to do this, ISPs must remain under Title II.  

I'm urging FCC Chairman Ajit Pai to preserve real Net Neutrality rules and keep Title II in place for broadband internet access. ",-1.0
62,307711,657131,Keep the Internet under Title II.  Do NOT allow the ISPs to govern themselves.  Remember what happened when George Bush allowed the banks to operate without honest adult supervision.,-1.0
63,250872,462595,"As an American citizen, I urge the FCC to leave title II net neutrality protections intact. These rules are vital to protecting the free and unbiased flow of information throughout the world.",-1.0
65,112682,215277,"I support strong net neutrality, requiring Title II oversight of ISPs. I work in the IT industry, and have worked with media delivery companies and ISPs. For everyone's well-being, retaining this oversight is best for both the public and the companies themselves.",-1.0
66,1842342,7356775,Net Neutrality is very important to me.  I do not agree with any proposed changes to the laws and rules governing net neutrality as it currently stands. I am opposed to the proposed changes that have been put forth in the above proceedings.,-1.0
67,2237012,8151042,"Please keep the Internet a level, equal and fair environment for everyone, not tiered for those who can afford to pay for faster access.  ",-1.0
71,2241582,8155908,Keep the internet free and equal for ALL!,-1.0
75,1650439,5015484,"Please maintain 'net neutrality'. Because of my disability and lack of any available cash after paying for my rent, food and medications... paying for access to the internet would prevent me from using the internet- entirely. I don't leave my apartment very often and I would be cut off from services and social interaction... friends, family, bill paying, etc. Thanks, for helping the ""little guy"".",-1.0
78,314673,692897,"I urge the FCC to stop this attack on strong Net Neutrality and Title II. Net Neutrality is essential for protecting free speech, organizing, business and innovation. I will not stand for any attacks on Net Neutrality or my rights as an internet user. Let the Net Neutrality rules stand.",-1.0
80,719802,2643818,Please keep Title II restrictions in place.,-1.0
81,235731,433185,I strongly support title 2 and the current net neutrality standards and they should not be changed.,-1.0
82,1646154,5010976,This proposal smacks of a monopoly in disguise and we all know what that leads to. Soon enough the elephant in the room rears its' ugly head and restricts the movements of others. Do you really want to go there again? Once should have been enough!,-1.0
84,2894957,15971513,"I am in favor of strong net neutrality under Title II of the Telecommunications Act.


Sincerely,
Diana Bowman",-1.0
85,66558,148328,I strongly support net neutrality and title 2. Repealing net neutrality would be a disaster.,-1.0
86,2928306,21820849,I do not support the FCC's initiative to roll back Title II and end net neutrality.,-1.0
88,2081392,7835573,Net Neutrality is important to me.  I urge you to keep strong net neutrality rules as backed by Title II.,-1.0
89,1819275,7299982,"Net Neutrality will cause more harm than good. If certain content can cause one's connection speed to be drastically slowed down, regardless of the connection, then it negates any benefit of getting higher tier Internet speed packages from an ISP.",-1.0
95,1358895,3741110,"I wish to make it known that I am FOR net neutrality and I believe it is imperative to keep an open Internet. If there is an existing comment under my name that is anti-nn, that comes from Comcast and NOT ME.",-1.0
97,1631001,4994924,"Eliminating net neutrality is an act hostile to the citizens of the U.S.. It will create an enormous digital divide where those who are not powerful and rich will drown out the voice of the ordinary people. It makes some voices all powerful and others weak. The net belongs to all the people in the world since it travels through the air that all people have a right to. The fiber optic cables that comcast and at&t use were payed for by the people's taxes, so in fact we the people own the cables.
Keep the greedy from interfering with net neutrality.",-1.0
98,64000,144530,I am in support of Net Neutrality and current FCC regulations. Any altering could change the way information is acquired or perceived.,-1.0
99,272088,555283,Proponents of protecting net neutrality say that the potential for ISP abuse is far too high to walk back the regulations.,-1.0
100,1962247,7645853,"Net neutrality is important to me. I want open access to the internet, with no throttling, blocking, nor paid prioritization. Don't let ISP's roll back the current net neutrality rules--that's just wrong!",-1.0
103,138217,251285,I am in support of Strong Net Neutrality backed by Title II oversight of ISPs!  I am greatly Opposed to Docket No. 17-108 and find any consideration for this unacceptable.,-1.0
106,1484328,4445598,"I support net neutrality and keeping ISP's under Title 2.  I would also consider that Ajit Pai has a conflict of interest having previously worked for Verizon and should instead accept popular public opinion instead of his own council.  He should make sure that each side of the argument is fairly represented and not influenced by lobbyists and special interests such as that of Verizon, for instance.  I do not wish to have my internet experience to be influenced by the interests of my ISP just as I would not want my water pressure or electrical service to fluctuate based on the whims of the companies that service me.",-1.0
107,531114,2173261,"We internet users are again worried about Net Neutrality being compromised. I believe ISPs should be regulated under Title II. I believe in equal access to all the corners of the internet, and equal opportunities to every internet user.",-1.0
109,230293,423719,The internet should remain anonymous the way it was meant to be!,-1.0
112,2297249,8417540,THE INTERNET SHOULD BE FREE AND NOT PUTTING CASH IN THE POCKETS OF THE RICH.,-1.0
113,1483700,4444795,I support net neutrality enforcement under Title 2.  Please keep net neutrality rules enforceable under Title 2.,-1.0
116,2942030,22071229,Don't let big business win this one!  Free internet is a part of free democracy!! Abolishing Net Neutrality is letting the biggest $$ win!,-1.0
118,2559413,10282852,"Chairman Pai\xe2\x80\x99s proposed plan to repeal net neutrality protections would put a huge burden on microbusinesses like mine.\n\nAs an Etsy seller, net neutrality is essential to the success of my business and my ability to care for myself and my family. The FCC needs to ensure equal opportunities for microbusinesses to compete with larger and more established brands by upholding net neutrality protections.\n\nEtsy has opened the door for me and 1.8 million other sellers to turn our passion into a business by connecting us to a global market of buyers. For 32% of creative entrepreneurs on the platform, our creative business is our sole occupation. A decrease in sales in the internet slow lane or higher cost to participate in Chairman Pai\xe2\x80\x99s pay-to-play environment would create significant obstacles for me and other Etsy sellers to care for ourselves and our families.\n\nMoreover, 87% of Etsy sellers in the U.S. are women, and most run their microbusinesses out of their homes. By rolling back the bright line rules that ensure net neutrality, Chairman Pai is not only taking away our livelihood, he is also putting up barriers to entrepreneurship for a whole cohort of Americans.\n\nMy business growth depends on equal access to consumers. Any rule that allows broadband providers to negotiate special deals with some companies would undermine my ability to compete online.\n\nWe need a free and open internet that works for everyone, not just telecom companies that stand to benefit from the FCC\xe2\x80\x99s proposed rules.\n\nI'm sending this to the FCC's open proceeding and to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II and microbusinesses like mine.\n\nThank you!\r\nJerra Kelly",-1.0
120,1894398,7494923,I am for net neutrality.  I think it is ludicrous to change this when we pay money for internet and internet providers want to limit us is just wrong.  We pay for the internet so we should be able to do what we  want with it.,-1.0
124,1747521,7086569,everyone should be granted full access to the internet. It is unjust to sell and change the way the internet works just because greed. The highest bider should not be able to control the internet.,-1.0
125,1475115,4301901,"We are pro-net neutrality!! Do not repeal and take away our freedom of internet!

Many of the anti-net neutrality comments are bots. Ask any thinking person without ties to the industry, and you will not find one average American who supports this idea.",-1.0
126,1775981,7170474,"The Open Internet rules (net neutrality) are extremely important to me.  I don't want the ISP to have the power to block websites, slow them down, give some sites advantage over others, or split the internet into fast lanes for companies that pay and slow lanes for the rest.  Please don't allow corporate America to control our life. The internet is our access to knowledge and bridge between cultures and people.  It allows open investigation and encourages informed thinking.  To shut that down is to discourage democracy and encourage directed thinking that can be controlled by those who are willing to pay.",-1.0
128,2380657,9120779,"Etsy Shop https://www.etsy.com/your/shops/ButchnBetty/tools/listings?ref=seller-platform-mcnav

Chairman Paiâs proposed plan to repeal net neutrality protections would put a huge burden on microbusinesses like mine.

As an Etsy seller, net neutrality is essential to the success of my business and my ability to care for myself and my family. The FCC needs to ensure equal opportunities for microbusinesses to compete with larger and more established brands by upholding net neutrality protections.

Etsy has opened the door for me and 1.8 million other sellers to turn our passion into a business by connecting us to a global market of buyers. For 32% of creative entrepreneurs on the platform, our creative business is our sole occupation. A decrease in sales in the internet slow lane or higher cost to participate in Chairman Paiâs pay-to-play environment would create significant obstacles for me and other Etsy sellers to care for ourselves and our families.

Moreover, 87% of Etsy sellers in the U.S. are women, and most run their microbusinesses out of their homes. By rolling back the bright line rules that ensure net neutrality, Chairman Pai is not only taking away our livelihood, he is also putting up barriers to entrepreneurship for a whole cohort of Americans.

My business growth depends on equal access to consumers. Any rule that allows broadband providers to negotiate special deals with some companies would undermine my ability to compete online.

We need a free and open internet that works for everyone, not just telecom companies that stand to benefit from the FCCâs proposed rules.

I'm sending this to the FCC's open proceeding and to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II and microbusinesses like mine.

Thank you!",-1.0
129,1361223,3853787,"The preservation of net neutrality is critical to preserving our Constitution's guarantee of freedom of speech, a free press and the open exchange of information.  Deregulation opens the doors for abuse and corruption.  Maintain the rules approved by the FCC in 2015.",-1.0
132,159771,283072,"It is bad enough that the trump administration is allowing isp,s to sell our browser history without consent, now you want to kill net neutrality. Have you no shame? You work for the people, not giant corporations. I know of no one, left, right or center, who thinks this is in the people's best interests. Please start acting like you have any sense of responsibility to us.",-1.0
135,160475,284365,"In order for our nation to maintain any sort of technical edge over the rest of the world, we must maintain a free and open internet. Allowing corporations to throttle and control our access to the world-wide information network is a perilous proposition. Internet access - free of corporate intrusion or meddling - must be accessible to the masses!",-1.0
136,1634468,4998597,The internet is a reflection of our democracy.  I'm at one end and everything else is at another end.  To have big cable companies dominate was not the spirit of the internet and not the spirit of America  ,-1.0
138,220444,403924,Please don't allow ISPs the ability to throttle websites.,-1.0
139,1485383,4446968,"I support INTERNET NEUTRALITY and Title 2, and I expect the FCC to do the same!!!
Keep the internet free of biased, fraudulent, self-serving and corrupt actions on the part of internet service providers who seek only to instigate personal/corporate and unfair attacks on free enterprise competition. 

Kenneth H. Jones, Architect/Radio Program Host",-1.0
146,284113,597186,Maintain net neutrality by strengthening title II.,-1.0
148,182680,341015,The internet providers must remain regulated as a title 2.,-1.0
149,2912054,21800386,"Please protect net neutrality. Internet access, which is indisputably integral to modern society, will become unaffordable if Comcast and AT&T are allowed to exist without net neutrality.",-1.0
153,483626,1745908,Please strongly support net neutrality under title 2,-1.0
155,1611532,4963341,The internet is one of the largest platforms for free speech and any move to further limit net neutrality (including capitalistic/money hungry ventures of making the internet more like a regular market place good and less like the commodity that it has become - seeing as the internet has become virtually required to lead a successful life in modern day America) is a direct assault on free speech.,-1.0
156,1479350,4400224,Please keep our internet free. We are already paying for old internet infrastructure that has been outdated 20 years ago and even after billions of federal dollars being invested companies keep getting away with provide sub-par service cause they can.,-1.0
160,401236,1117403,"I support strong regulation. Preserve net neutrality, and title 2.",-1.0
165,2151936,8001407,"[We don't need to turn the internet in to another overpriced, bad service cable network.",-1.0
166,315994,694750,"I wholeheartedly  support net neutrality and the rules that were setup so that internet providers were managed under Tittle II. Any changes to the current system will be unfair and will reduce access, add cost and further erode our country's position as a technology leader.",-1.0
168,474797,1430496,We need net neutrality and not Trump helping big corporations make more money.,-1.0
169,1960374,7642860,"Why are you changing the experience of our freedom? This is blasphemy, leave what's not broken alone.",-1.0
170,512780,2072610,protect and regulate for the public.  isn' that your duty?  it surely can't be your duty to profit off the public!  and it certainly is not your duty to be the spokesperson or stenographer to the 1%!,-1.0
171,2355102,9007523,I strongly support the 2015 FCC Net Neutrality rules that keep the Internet free and open. We must preserve our right to communicate freely online. IPS should provide us with open networks. It is essential to preserving our democracy and creating education and economic opportunities for all. Millions of people fought over a decade to secure lasting Net Neutrality protections. Leave Net Neutrality Alone!,-1.0
172,53214,128564,"Ajit Pai I specifically support Net Neutrality, backed by title 2 oversight of ISPs. Do NOT change it please.",-1.0
174,98305,195222,Do NOT mess with Net Neutrality or Title II.  A free and open internet is a right.,-1.0
176,132093,242782,I support net neutrality to remain under Title II protections.,-1.0
180,280214,582428,Please don't allow this to happen. You all know it's not right thing to do.,-1.0
181,2074279,7819055,"Please preserve net neutrality.  By doing away with it, you are essentially giving preference to the highest bidders.  As the owner of a small, family-owned business, we cannot afford to compete with the companies that have endless funds.  We already have to accept that we cannot afford the SEO and advertising budgets that some of our large scale competitors have - but where we can compete is in our service.  By taking away net neutrality, our service will suffer when our site is noticeably slower than the rest, thus resulting in fewer sales.  This is just ONE story of ONE small business that will suffer.  But we are one of many.  And we are the people that are working long hours, giving our all to our businesses - to put food on the table and pay our electric bills.  We aren't CEOs flying private jets.  The playing field is unlevel in so many other aspects, but net neutrality is one area where the playing field is even.  Please do not take that away from us.  This will have major impacts on millions of sites, thousands of companies, and all for what?  Our lives are already filled with ads everywhere we look - now you want to sell internet speed and preference to the highest bidder?",-1.0
185,2325905,8642015,man fuck you Comcast I pay $70 a month for your bullshit and don't get even half the speeds you promised,-1.0
187,94234,189706,"FCC Chairman Ajit Pai,
I support a strong net-neutrality policy that is backed by title 2 oversight of ISPs.  I believe this protection provides a fair, free, open internet which is extremely important.",-1.0
188,1694362,6417838,Don't change the internet it's perfect right now !,-1.0
190,2584639,10318082,"Etsy Shop pennystocksco.etsy.com\n\nChairman Pai\xe2\x80\x99s proposed plan to repeal net neutrality protections would put a huge burden on microbusinesses like mine.\n\nAs an Etsy seller, net neutrality is essential to the success of my business and my ability to care for myself and my family. The FCC needs to ensure equal opportunities for microbusinesses to compete with larger and more established brands by upholding net neutrality protections.\n\nEtsy has opened the door for me and 1.8 million other sellers to turn our passion into a business by connecting us to a global market of buyers. For 32% of creative entrepreneurs on the platform, our creative business is our sole occupation. A decrease in sales in the internet slow lane or higher cost to participate in Chairman Pai\xe2\x80\x99s pay-to-play environment would create significant obstacles for me and other Etsy sellers to care for ourselves and our families.\n\nMoreover, 87% of Etsy sellers in the U.S. are women, and most run their microbusinesses out of their homes. By rolling back the bright line rules that ensure net neutrality, Chairman Pai is not only taking away our livelihood, he is also putting up barriers to entrepreneurship for a whole cohort of Americans.\n\nMy business growth depends on equal access to consumers. Any rule that allows broadband providers to negotiate special deals with some companies would undermine my ability to compete online.\n\nWe need a free and open internet that works for everyone, not just telecom companies that stand to benefit from the FCC\xe2\x80\x99s proposed rules.\n\nI'm sending this to the FCC's open proceeding and to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II and microbusinesses like mine.\n\nThank you!\r\nKristen",-1.0
192,182189,340212,I support Title 2 and net neutrality which I believe should be preserved as the law currently stands.,-1.0
194,2365497,9031214,"For my learning online when I can't afford school, for my marketing as an artist and web designer, for my connecting with family and friends across the world.",-1.0
200,263921,487440,Preserve net neutrality and strong Title ll rules!!!,-1.0
201,314013,691994,I support Net Neutrality and how it's described under Title II,-1.0
205,1475095,4181704,"In order to demonstrate a commitment to our freedoms, our knowledge base and our right to be independent, net neutrality must be upheald. There can be no ciricumstance in which corporations have the power to decide our access to free and open information.",-1.0
210,71307,155595,"PLEASE, PLEASE DON'T KILL NET NEUTRALITY. 
No one wants their cable company to decide what content should be prioritized.",-1.0
211,2298345,8426185,I think the internet is very important from shopping to research to games to entertainment. I believe that everything should be equal access. If the internet was owned and censored not everyone's view of an issue would be open and public. therefore we as society might not advance because of the important discussions on the free world wide web.,-1.0
214,465997,1369580,No person or company should ever have that much power. To allow it is dangerous and harmful and opens the way to a lack of ethics-something that is already a problem with such big companies.,-1.0
216,1921390,7576777,Net neutrality is essential to a free society safe from censorship.,-1.0
218,474076,1425456,Americans need free and unfettered access to the internet without restriction -- this is one of the ways we keep our country free: by letting our people have access to the information they need. If we allow ISPs to control our online actions,-1.0
219,56447,133309,"I strongly support strong Net Neutrality backed by Title II oversight of ISPs.

And your mug is kinda lame.",-1.0
220,2853170,12004478,"I am in favor of strong net neutrality under Title II of the Telecommunications Act.


Sincerely,
Heather Hansen",-1.0
224,520916,2151830,I am in favor of strong net neutrality rules and title II.,-1.0
225,1356953,3525771,"I would like to express my full support for title II net neutrality, as well as my raising concern due to Pai's proposal to overturn this rule that prevents internet service providers (who conduct their business practically as a monopoly that disregards their customers because of the lack of competition, which is an issue in its own) from throttling or perhaps outright denying access to certain webpages and traffic, unless it directly benefits them through profits from fees. Not only is this extremely unfair to consumers and to contributors on the internet, it's completely immoral and only benefits ISPs by bringing them more unfair profits that are ill-deserved. There is no gain for anyone except for comcast-like corporations which are reknowned for their poor treatment towards customers that have no other options, and the politicians that receive donations from these corrupt bodies of power that vote for proposals such as this in return. It is our duty as citizens of the United States, the land of the free, to express these concerns in the hopes that our government will represent the people's wishes, and not the wealthy corporations. As of now, there are at least 2.6 million comments showing the deep concern and worry that has been inflicted upon us, and we ask that you do what you were assigned to do, which is to represent the people and citizens of this great country. I ask those who read this to please consider the impact this will have on those that are not profiting from Pai's inhonorable proposition. This is not the first time that the people have objected to these sorts of proposals, and it is unfortunate that we will have to keep doing so until we are properly represented.",-1.0
226,252506,465538,"As retired IT Analysts we have both seen the growth of the internet over the years, we have also directly seen the effects that throttling throughput has on the applications we use daily. Our provider seems to think we don't need the speed during certain times.
ALL people have the right to equal ISP speeds without having to compete with major companies to receive them. Just because we are retired or students should not limit how We receive Data! Please keep net neutrality safe.",-1.0
227,327683,731275,"Dear FCC,

why wont you let slim shady be?
why do you hate fun?
why must you interrupt the internet for a quick buck?
why do must you interrupt my masturbating for a quick buck?
why must you interrupt the masturbation of millions for a quick buck?
it's a smart plan if you win, but the backlash of a loss is too big of a chance and too big of a punch thrown by yourself to your own crotch. do you know how many people will be on your case about how much of a dick you are for letting this happen. i like the internet and i like it free, if you're going to put the internet to a screeching crawl of pain then we (the internet as a whole) will have a big problem with you all.

Landen Carr",-1.0
230,2236165,8150128,"Hello, I own a small online retail business, and the income I bring in helps to provide for my family of 6. If net neutrality were gutted, my business and income would suffer greatly. I've worked as a small business owner for over 8 years, and it would be devastating to have all of that hard work stifled. Thank you.",-1.0
231,528321,2168613,"We strongly support the defense of ""net neutrality"" as currently backed by Title 2 oversight of ISPs.",-1.0
233,48416,120732,"I support Strong Net neutrality backed by title 2 oversight. The internet needs to treated like a utility and it needs be a civil right.  Internet access should not a privilege by those that can afford it. There are cities like mine where Comcast has a monopoly on the market. There are no other ISP service providers in my county. But 5 miles across the County lines there are 3 Internet service Provider options, all of them charge HALF of what we get charged for basic service. This kind of behavior is extortion of the people. Ensuring title 2, ensures that other cites don't end up in a monopoly where people cannot afford reasonable costs for Internet access.",-1.0
234,716160,2586464,I am against this measure.  Enactment of it would reduce my freedoms and access to information.,-1.0
235,1733560,7058940,keep the internet free like it was meant to be. what you are trying to do is wrong.,-1.0
237,383310,1091281,We need to preserve NET NEUTRALITY,-1.0
240,2064227,7801552,"The internet needs to be free. The way the internet works is fair for everyone. ISPs make enough money as it is. I'm a libertarian myself, but some rules must exist for the market to exist in balance, especially when power is concentrated in very few hands. KEEP THE INTERNET FREE.",-1.0
242,54281,130096,"We need a free and open internet to protect the future of humanity. If you don’t see that, then go FCC yourself.",-1.0
247,1645236,5010000,We already have an issue of specific internet provider monopolizing areas and throttling speed and prices. Please don't make the internet unusable.,-1.0
250,229500,421704,"I am for net neutrality enforced via Title 2 classifications of ISP.  Under no version of reality would ISP's be impartial with their network traffic especially in instances when they have competing programs.  As a software engineer and researcher, deregulation of ISP's is detrimental to small business growth and competition.",-1.0
251,2925985,21818201,"As free, American citizens with constitutional rights and civil liberties, we deserve an open internet",-1.0
253,2847528,11456479,"I am in favor of strong net neutrality under Title II of the Telecommunications Act.


Sincerely,
Krista Anderson",-1.0
254,283752,594813,The internet must be regulated and overseen under Title II. Net Neutrality is a must in a free and open society.,-1.0
255,1777021,7177514,"Net neutrality is important.  We have the right to view what we want Please protect our ability to choose what we see and don't  allow anyone to censor it. Thanks for your consideration.
Tammy Biddix",-1.0
262,2912529,21801103,We need to be protected from such practices by Verizon and other phone companies,-1.0
264,173928,326414,Please reserve net neutrality with title 2 classification. Our current economy relies on a fair and balanced internet.,-1.0
265,303281,646074,go fcc yourself,-1.0
269,1714646,6485888,I do not endorse any law or regulation that would limit or restrict internet access to myself or others. Please continue to keep the internet free and open.,-1.0
271,2335033,8805102,"Open and equal access to the internet, a resource that now touches nearly every aspect of all Americans' lives, must be preserved.  If institutions with money and power are allowed to tip the balance in their favor, it will be a dangerous blow to both democracy and entrepreneurship.  

Please protect this critically important pipeline.",-1.0
272,35323,79630,I support net neutrality under Title II. The internet must be open and equal for all users and services.,-1.0
274,71402,155753,"Keep ISPs under title 2, so proper regulation and oversight may be kept over their actions, in order to ensure the ideals of the free and open web are not lost due to financial motivation of an overwhelming minority. Put the public before private interests.",-1.0
278,2845888,11266498,Please do not undermine open and free internet access.,-1.0
280,349100,911449,I specifically support strong net neutrality backed by title 2 oversight of ISP's ( internet service providers),-1.0
282,2358699,9012754,Freedom is what america has been built on.,-1.0
284,85640,177286,I very strongly support Net Neutrality backed by Title 2 oversight and regulation of ISPs.,-1.0
286,115842,219922,Just leave the net neutrality rules alone.,-1.0
288,267572,501817,"I am strenuously opposed to Docket No. 17-108, and in support of Strong Net Neutrality backed by Title II oversight of ISPs.
I would rather not use the internet than be nickle and dimed for the services I utilize on the internet.",-1.0
289,56439,133294,Please stop hoping you can dupe uninformed people into believing that net neutrality is an attack on internet freedom when the opposite is true. Please keep the internet open and free. I support classifying ISPs as Title II.,-1.0
