Unnamed: 0.1,Unnamed: 0,docid,text_data,dupe_count,label
2960,346482,903727,I support strong Net Neutrality and classifying ISPs under Title II. ISPs have not shown that they can act in good faith or in the best interest of consumers. In most cities they face little to no competition and the results are obvious. In the US we pay far more to receive worse service and face data caps to boot. At every turn they insist they are doing what is best for the customer yet are some of the most hated companies in a America. They can't be trusted to act in there interest of the consumers and should be regulated accordingly. The UN has called internet access a basic human right. We should protect that right with strong legal protections just as we would any other human right.,-1.0,0
2019,795852,2721213,"Chairman Pai, I want to give my opinion on Net Neutrality and Title II. I advocate the FCC to repeal President Obama's order to take over the web. Individual citizens, rather than the FCC, deserve to use whatever applications they choose. President Obama's order to take over the web is a betrayal of the open Internet. It disrupted a light touch approach that worked supremely successfully for many years with broad bipartisan support.",1.0,1
940,577116,2263783,"Dear Commissioners, I would like to comment on net neutrality. I want to recommend you to undo Barack Obama's decision to control Internet access. People like me, not Washington, should be free to purchase whatever products they choose. Barack Obama's decision to control Internet access is a perversion of the open Internet. It undid a market based approach that worked exceptionally well for two decades with broad bipartisan support.",1.0,1
2035,846489,2771857,"Dear Commissioners, I'm very concerned about net neutrality and Title II. I ask the Federal Communications Commission to overturn Tom Wheeler's plan to control the Internet. Citizens, as opposed to the FCC, ought to enjoy whichever products we choose. Tom Wheeler's plan to control the Internet is a betrayal of the open Internet. It broke a free market policy that worked exceptionally successfully for a long time with both parties' support.",1.0,1
189,1493603,4481880,"To the FCC, My comments re, Title II rules. I strongly demand you to overturn The previous administration's policy to regulate Internet access. Individual citizens, rather than Washington, should be able to select whatever services we want. The previous administration's policy to regulate Internet access is a exploitation of the open Internet. It disrupted a market based approach that functioned remarkably successfully for decades with broad bipartisan backing.",1.0,1
322,2394104,9205131,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet fast lanes by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. I urge you to keep Title II net neutrality in place, and safeguard Internet users like me. Sincerely, Estella M Ray",1.0,1
2711,1950505,7627264,Preserve the open internet. Give the people one sensible decision this year.,-1.0,0
2368,1267876,3370483,"To the FCC, Hi, I'd like to comment on the FCC regulations on the Internet. I'd like to suggest the commission to rescind President Obama's decision to regulate the Internet. Individuals, as opposed to big government, should be free to buy which services we want. President Obama's decision to regulate the Internet is a exploitation of the open Internet. It disrupted a light touch policy that worked very, very smoothly for decades with broad bipartisan backing.",1.0,1
2908,458892,1298533,The internet belongs to everybody! Treat it that way and don't make exceptions for big money and big corporations,-1.0,0
2865,2419155,9664982,"It is imperative that the FCC pursue strong net neutrality regulations and classify ISPs as heavily regulated utilities. ISPs are the matrix that competition is built on, and they must be forced by the people to play by the rules.",-1.0,0
915,1439157,4010311,"Dear Mr. Pai, I have thoughts on Net Neutrality and Title II. I would like to ask Chairman Pai to reverse The previous administration's scheme to control the Internet. Citizens, not Washington, should be able to select the services we want. The previous administration's scheme to control the Internet is a betrayal of the open Internet. It reversed a pro consumer framework that functioned exceptionally successfully for many years with both parties' approval.",1.0,1
604,802496,2727857,"To whom it may concern, I'm very worried about net neutrality regulations. I would like to advocate you to rescind The previous administration's order to control the web. Americans, rather than so called experts, deserve to purchase the services we want. The previous administration's order to control the web is a perversion of the open Internet. It undid a market based framework that worked very, very smoothly for many years with bipartisan consensus.",1.0,1
1984,935977,2861374,"FCC, In reference to the FCC rules on the Internet. I suggest the commissioners to rescind The Obama Wheeler decision to take over the web. Individual Americans, as opposed to Washington, should be able to select the products they choose. The Obama Wheeler decision to take over the web is a exploitation of the open Internet. It undid a free market policy that worked fabulously successfully for decades with Republican and Democrat consensus.",1.0,1
2724,508515,2059795,"Dear Verizon Lawyer Pai, the FCC is a public federal regulatory agency, not a Verizon office. You are not permitted to hand over control of the Internet to ISPs who will no doubt shape it into a pay to play medium that burdens diversity and entrepreneurship.",-1.0,0
2491,870086,2795464,"To the Federal Communications Commission, I'm contacting you about an open Internet. I want to implore the Federal Communications Commission to reverse The previous administration's power grab to control the Internet. Individuals, rather than the FCC Enforcement Bureau, deserve to select the services they want. The previous administration's power grab to control the Internet is a distortion of net neutrality. It disrupted a free market framework that performed remarkably successfully for two decades with bipartisan approval.",1.0,1
1288,1035777,2961179,"Mr Pai, Regarding Network Neutrality. I urge you to reverse Obama's scheme to regulate Internet access. Individuals, rather than the FCC Enforcement Bureau, ought to use whichever services we choose. Obama's scheme to regulate Internet access is a perversion of net neutrality. It disrupted a free market system that functioned very well for many years with bipartisan support.",1.0,1
2115,829284,2754652,"Chairman Pai, With respect to Internet Freedom. I'd like to encourage Ajit Pai to undo The previous administration's scheme to control the web. Internet users, as opposed to the FCC, should use which products they want. The previous administration's scheme to control the web is a corruption of net neutrality. It reversed a light touch framework that worked very, very successfully for two decades with Republican and Democrat consensus.",1.0,1
2487,2171422,8034863,"The FCC should ensure a fair and open Internet for all by opposing efforts to undermine net neutrality. The FCC should throw out Chairman Ajit Pai's proposal to hand the ISP monopolies like AT&T, Comcast, and Verizon free rein to throttle whatever they please, stripping users of the vital access and privacy safeguards we fought for and won just two years ago. I'm afraid of a pay to play Internet where ISPs can charge more for certain websites because users will have fewer options and a less diverse Internet. Thankfully, the existing Open Internet rules ensure that ISPs can't slow or block customers' access to certain websites or engage in data discrimination by charging online services and websites more money to reach people faster. That's the right kind of forward looking approach to ensure the Internet remains a level playing field that benefits small businesses and consumers as well as entrenched Internet companies. Pai's proposal would transform ISPs into Internet gatekeepers with the ability to veto new expression and innovation. That's not how the Internet was built, and that's not what we want. When I was in middle school 2006 I did not have internet access let alone a functioning computer. My school work would be done at school or at a public library where there is a limit to how long you are able to use it. This is still a common occurrence with some teenagers. The addition of the slow or fast lane would not allow much time to do anything, the Orange Public Library allows a max of 1hr and 15minutes. This is the most practical purpose as institutions such as libraries and schools do not have the sufficient budget to pay a premium for internet access. The idea of both small and big businesses have an even playing field, cable companies already have a monopoly in how we access the internet I do not want to give them more control of how I wish to view web page content. I appreciate you maintaining Title II net neutrality rules and the rights of Internet users like me.",1.0,1
1914,1775218,7164649,"I hope this proposed net neutrality repeal gets shut down. The internet should be treated as a utility. Internet Service Providers ISPs should not be allowed to create fast lanes or slow lanes . This will lead to a reduction in innovation for small business and more profits for telecom giants. The internet should be open and accessible for all, regulated by the government, not ISPs. As a consumer, I also don't want to pay more for slower internet or have my full access to the internet restricted by ISPs. As a millennial, cable and television services are frustrating due to the restrictions and packages offered. I don't want the internet to follow suit. I should get to choose the content I want and not be limited by telecom companies. This regulation is unjust and fueled by special interests. I hope that this proposal gets throttled instead of our internet access.",-1.0,0
2446,743674,2669027,"Dear Mr. Pai, I'm very worried about NET NEUTRALITY. I'd like to demand you to overturn Barack Obama's decision to regulate Internet access. People like me, not so called experts, should be empowered to use the services we want. Barack Obama's decision to regulate Internet access is a corruption of net neutrality. It ended a pro consumer system that worked very smoothly for two decades with broad bipartisan approval.",1.0,1
1561,2204075,8095614,"We need the FCC to defend the rights of millions of Internet users by upholding net neutrality protections. The FCC should reject Chairman Ajit Pai's proposal to give the ISP monopolies like Verizon, Comcast, and AT&T free rein to throttle whatever they please, stripping consumers of the vital privacy and access rules we fought for and so recently won. I'm concerned about ISPs being allowed to discriminate against certain types of data or websites because ISPs could have too much power to determine what I can do online. Thankfully, the current net neutrality rules mean that ISP monopolies can't block or slow our ability to see certain web services or create Internet fast lanes by charging websites and online services more money to reach consumers faster. That's the best way forward to ensure the Internet remains a level playing field that benefits Internet users and small businesses as well as entrenched Internet companies. Chairman Pai's proposal would transform Internet providers into Internet gatekeepers with the ability to veto new innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. Thanks for protecting Internet users like me by upholding the existing Title II net neutrality rules.",1.0,1
102,774861,2700222,"FCC commissioners, My comments re, net neutrality rules. I implore Chairman Pai to repeal President Obama's decision to take over the Internet. Citizens, rather than big government, should purchase whatever products they desire. President Obama's decision to take over the Internet is a distortion of net neutrality. It reversed a light touch approach that worked very, very well for decades with bipartisan approval.",1.0,1
2585,129057,238647,I support net neutrality backed by title II regulation of ISP,-1.0,0
1976,1233530,3336137,"Dear FCC, My comments re, the future of the Internet. I would like to suggest you to overturn Barack Obama's plan to regulate broadband. Individual citizens, as opposed to so called experts, should be able to buy which services they desire. Barack Obama's plan to regulate broadband is a exploitation of net neutrality. It undid a free market framework that functioned fabulously smoothly for two decades with both parties' approval.",1.0,1
2558,2378001,9094118,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet fast lanes by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. I urge you to keep Title II net neutrality in place, and safeguard Internet users like me. Sincerely, Philip J Mueller",1.0,1
2497,878910,2804288,"Mr Pai, I'm very worried about net neutrality regulations. I strongly demand the commissioners to rescind Obama's plan to regulate broadband. Individual citizens, rather than Washington bureaucrats, ought to purchase the applications we desire. Obama's plan to regulate broadband is a perversion of net neutrality. It stopped a free market approach that performed supremely well for decades with nearly universal consensus.",1.0,1
2146,1631720,4995678,Right of access to information on the internet is as important now as access to all newspapers and magazines at new stands and libraries was for generations past. No provider of access should be able to favor some sources at the expense of others.,-1.0,0
1963,633724,2373328,"Dear FCC, I'm contacting you about Internet regulation and net neutrality. I want to encourage the government to undo President Obama's power grab to control Internet access. Americans, not so called experts, should be able to buy the applications they desire. President Obama's power grab to control Internet access is a perversion of net neutrality. It stopped a free market approach that worked very successfully for a long time with bipartisan consensus.",1.0,1
1802,1014890,2940292,"To the Federal Communications Commission, I am a voter worried about Title 2 and net neutrality. I want to demand the FCC to overturn The Obama Wheeler decision to control the web. Citizens, not unelected bureaucrats, should enjoy whichever services they want. The Obama Wheeler decision to control the web is a distortion of net neutrality. It ended a market based approach that worked supremely well for many years with both parties' backing.",1.0,1
2877,510138,2064550,"This is the ONLY realm in which we can keep corporate elites from stifling competition to get out information voters and citizens need. This is the ONLY realm where citizens and responsible journalists can get the word out about government corruption when mainstream corporate media chooses to look the other way or downplay it. The internet was funded and managed by taxpayer dollars private sector has NO right to take it over. With so many of our rights and our democracy being hijacked by billionaires and powerful lobbyists, Net Neutrality is CRITICAL to the survival of our freedom.",-1.0,0
2281,1106980,3209578,"FCC commissioners, I'm concerned about the Obama takeover of the Internet. I strongly advocate you to rescind Barack Obama's order to regulate the Internet. Citizens, not the FCC Enforcement Bureau, deserve to select the products they want. Barack Obama's order to regulate the Internet is a corruption of net neutrality. It disrupted a free market framework that worked exceptionally well for a long time with broad bipartisan backing.",1.0,1
3,744032,2669385,"FCC commissioners, Regarding Title II rules. I'd like to urge the government to reverse Barack Obama's policy to regulate the web. Internet users, not unelected bureaucrats, should be able to purchase whatever products we prefer. Barack Obama's policy to regulate the web is a betrayal of the open Internet. It ended a free market approach that performed fabulously smoothly for many years with nearly universal backing.",1.0,1
1595,1420740,3973272,"Dear Commissioners, I have concerns about Internet regulation. I want to urge Chairman Pai to reverse Tom Wheeler's decision to regulate broadband. Americans, as opposed to unelected bureaucrats, ought to enjoy which services we prefer. Tom Wheeler's decision to regulate broadband is a betrayal of net neutrality. It stopped a hands off approach that functioned supremely successfully for two decades with Republican and Democrat consensus.",1.0,1
1657,677855,2479152,"Chairman Pai, I'm contacting you about internet regulations. I strongly implore Ajit Pai to reverse The Obama Wheeler scheme to take over broadband. People like me, rather than Washington, should select whatever products we desire. The Obama Wheeler scheme to take over broadband is a betrayal of net neutrality. It stopped a free market approach that functioned remarkably successfully for decades with broad bipartisan approval.",1.0,1
2662,355834,928758,The FCC absolutely needs to stand their ground for net neutrality. Keep the regulation in the realm of Title 2 regulation for the sake of consumers everywhere.,-1.0,0
870,1559896,4775573,"To the Federal Communications Commission, My comments re, Internet freedom. I want to advocate the commissioners to undo Obama's decision to control Internet access. Individuals, as opposed to Washington bureaucrats, ought to select the services we choose. Obama's decision to control Internet access is a distortion of the open Internet. It stopped a market based system that functioned remarkably well for many years with bipartisan backing.",1.0,1
529,414693,1137046,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet fast lanes by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. I urge you to keep Title II net neutrality in place, and safeguard Internet users like me. Sincerely, Angel Curry",1.0,1
1356,1130024,3232628,"To the Federal Communications Commission, My comments re, the FCC's Open Internet order. I would like to advocate the FCC to reverse Obama's plan to take over the Internet. Individuals, as opposed to the FCC, should select which applications we want. Obama's plan to take over the Internet is a betrayal of net neutrality. It ended a pro consumer system that functioned remarkably successfully for two decades with Republican and Democrat backing.",1.0,1
727,1129778,3232382,"Dear FCC, I'm very concerned about Net neutrality. I would like to request the commission to reverse Tom Wheeler's power grab to control the Internet. Individual citizens, not so called experts, should be free to select which applications they prefer. Tom Wheeler's power grab to control the Internet is a distortion of net neutrality. It reversed a market based system that worked supremely smoothly for many years with broad bipartisan support.",1.0,1
1776,345537,902202,I am for continuing the policy of regulating internet service providers as Title II 2 providers. I am opposed to any change that would deregulate ISPs or regulate them as Title I 1 providers.,-1.0,0
2526,1373529,3880330,"Dear Mr. Pai, I am concerned about the FCC's so called Open Internet order. I want to ask the FCC to undo Barack Obama's decision to control the Internet. Americans, as opposed to Washington bureaucrats, should purchase which services they prefer. Barack Obama's decision to control the Internet is a corruption of the open Internet. It broke a free market approach that functioned very smoothly for decades with nearly universal backing.",1.0,1
1261,1140603,3243207,"Mr Pai, I'm very worried about Internet regulation and net neutrality. I request the Federal Communications Commission to undo Barack Obama's decision to regulate the Internet. Citizens, not Washington, should be able to select which applications we desire. Barack Obama's decision to regulate the Internet is a betrayal of net neutrality. It reversed a market based policy that worked very, very successfully for decades with bipartisan support.",1.0,1
2240,9705,30438,I support net neutrality Title II !!!!!,-1.0,0
141,1432376,3998398,"Dear FCC, I would like to comment on NET NEUTRALITY. I demand the commissioners to repeal The Obama Wheeler order to take over broadband. Individuals, as opposed to Washington, ought to buy whichever services they want. The Obama Wheeler order to take over broadband is a betrayal of the open Internet. It stopped a hands off policy that performed very smoothly for two decades with bipartisan consensus.",1.0,1
1787,1184560,3287164,"I am concerned about net neutrality. I strongly ask you to overturn Obama's order to regulate Internet access. Citizens, as opposed to big government, should be empowered to select which applications they want. Obama's order to regulate Internet access is a exploitation of the open Internet. It ended a free market approach that performed very well for two decades with nearly universal support.",1.0,1
332,2216464,8120244,"The FCC should ensure a fair and open Internet for all by opposing efforts to undermine net neutrality. The FCC should throw out Chairman Ajit Pai's proposal to give the telecom giants like Comcast, Verizon, and AT&T the legal cover to throttle whatever they please, stripping Internet users of the necessary privacy and access protections we worked for and just recently won. I'm worried about creating a tiered Internet with fast lanes for certain sites or services because ISPs could have too much power to determine what I can do online. Thankfully, the current Open Internet rules mean that ISPs can't slow or block users' access to certain websites or engage in data discrimination by charging online services and websites more money to reach consumers faster. That's the best way forward to ensure the Internet remains a level playing field that benefits Internet users and small businesses as well as larger players. Chairman Pai's proposal would transform Internet providers into Internet gatekeepers with the ability to veto new expression and innovation. That's contrary to the basic precepts on which the Internet was built. The internet provides many kinds of services and media that I would hate to see become a shell of their former selves. No one benefits from changing the rules to let monopolies determine how people can use the internet. I appreciate you maintaining Title II net neutrality rules and the rights of Internet users like me.",1.0,1
918,602045,2313014,"To the Federal Communications Commission, With respect to net neutrality regulations. I want to suggest Ajit Pai to reverse The Obama Wheeler decision to take over Internet access. Individuals, as opposed to the FCC Enforcement Bureau, should be empowered to use which applications they prefer. The Obama Wheeler decision to take over Internet access is a corruption of the open Internet. It ended a hands off system that worked supremely well for many years with nearly universal backing.",1.0,1
1927,1958164,7639281,"Net Neutrality is a vitally important issue, and is a fundamental of not only free speech but also of individual liberty. Please defend the individuals' rights to exchange information and ideas without bureaucratic or outside interference.",-1.0,0
866,1227811,3330417,"Mr Pai, I have concerns about the FCC regulations on the Internet. I would like to urge the commission to reverse Tom Wheeler's decision to take over the Internet. Internet users, rather than so called experts, should be empowered to buy which services we prefer. Tom Wheeler's decision to take over the Internet is a exploitation of the open Internet. It stopped a light touch system that performed exceptionally well for two decades with nearly universal consensus.",1.0,1
2469,1305692,3422370,"To whom it may concern, I have thoughts on NET NEUTRALITY. I strongly request the commission to reverse President Obama's policy to control the web. Individual citizens, not unelected bureaucrats, should be empowered to use whichever applications we prefer. President Obama's policy to control the web is a corruption of net neutrality. It stopped a light touch framework that performed supremely successfully for decades with nearly universal consensus.",1.0,1
2890,192839,357415,I support strong net neutrality under title 2. Thanks.,-1.0,0
31,1757297,7105391,"I am a person who relies on an open internet for recreation, connecting with family and friends, and most importantly, education. The internet is a limitless source of knowledge and, no matter the subject, we can not have internet service providers dictating what information reaches us the fastest. I live in the city of Buffalo, NY and Time Warner already has great control over our internet availability. As far as I'm concerned, availability of a free internet should be the right of every American citizen and we citizens need it to be protected. Thank you",-1.0,0
1024,1319112,3449318,"To the FCC, I am a voter worried about Network Neutrality. I strongly suggest the commissioners to rescind President Obama's order to regulate broadband. Americans, rather than Washington, should buy whichever applications they prefer. President Obama's order to regulate broadband is a corruption of net neutrality. It broke a market based approach that functioned supremely successfully for many years with bipartisan backing.",1.0,1
564,667836,2454536,"To the FCC, I'm very worried about Internet freedom. I want to demand the Federal Communications Commission to overturn Obama's order to regulate the web. Internet users, rather than Washington, should be free to purchase whatever products they choose. Obama's order to regulate the web is a perversion of net neutrality. It stopped a hands off approach that worked fabulously well for a long time with broad bipartisan approval.",1.0,1
2667,480776,1674974,I ask that you uphold the concept of internet neutrality and keep ISPs classified under Title 2. ISPs should not have the ability to throttle the internet in a way that discriminates options that should be provided equally to internet users.,-1.0,0
2221,1292878,3396540,"Dear Commissioners, I am concerned about the Open Internet order. I want to recommend you to repeal Barack Obama's power grab to take over the web. Individuals, as opposed to big government, should be empowered to purchase whichever services we want. Barack Obama's power grab to take over the web is a betrayal of net neutrality. It undid a pro consumer framework that functioned very, very smoothly for many years with both parties' consensus.",1.0,1
2531,648667,2405365,"Dear Commissioners, In the matter of net neutrality and Title II. I would like to urge Ajit Pai to undo President Obama's order to regulate the web. People like me, not the FCC, should be empowered to buy the services we want. President Obama's order to regulate the web is a betrayal of net neutrality. It undid a free market system that performed very smoothly for many years with nearly universal consensus.",1.0,1
783,1377246,3888130,"To whom it may concern, My comments re, the future of the Internet. I would like to suggest the Federal Communications Commission to overturn The previous administration's order to regulate the Internet. Internet users, rather than so called experts, should be free to purchase whatever products we want. The previous administration's order to regulate the Internet is a betrayal of net neutrality. It ended a market based policy that worked fabulously well for decades with Republican and Democrat backing.",1.0,1
1252,2118298,7918830,"The FCC needs to stand up for Internet users like me and keep the net neutrality rules that are already in effect. The FCC should reject Chairman Ajit Pai's plan to give the ISP monopolies like AT&T, Comcast, and Verizon free rein to create Internet fast lanes, stripping users of the vital privacy and access protections we fought for and just recently won. I'm afraid of a pay to play Internet where ISPs can charge more for certain websites because ISPs could have too much power to determine what I can do online. Thankfully, the current net neutrality rules mean that ISP monopolies can't block or slow users' access to certain web services or create Internet fast lanes by charging websites and online services more money to reach consumers faster. That's the best way forward to ensure the Internet remains a level playing field that benefits Internet users and small businesses as well as larger players. Chairman Pai's proposed repeal of the rules would help turn Internet providers into Internet gatekeepers with an effective veto right on expression and innovation. That's contrary to the basic precepts on which the Internet was built. The internet is the best mode of communication these days. It's both a way to meet like minded people and to share differing views. Our world should be connected as it is now. The limitations set by various governments, like China's, restrict freedom of speech, of information, and freedom of the press to share news stories with the public in a way that will be readily available to all. To kill net neutrality would be not only limiting, but damaging to people's entire lives. I am personally dependent on the internet to stay in contact with friends and the person I am in a long distance relationship with. To give ISPs the right to charge premiums on that would hurt my ability to maintain these friendships. Certain political movements could also be slowed if ISPs decide their websites are unsavory content that they don't want to readily give people access to without extra payments. There are too many ways in which this could be used to take advantage of people. In the state of the world and the economy as it is, no one can afford the drastic and harmful changes that the removal of net neutrality would bring. No one save for the lobbyists who are literally using bots in an attempt to silence the voices of real people who truly do not want this. I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.",1.0,1
2114,21272,59974,Keep regulating ISPs under title II,-1.0,0
2670,191671,355454,Please leave the net neutrality laws in place!,-1.0,0
1965,1657822,5023273,Please keep net neutrality. Do not let network owners favor or disfavor different traffic based on corporate relationships or who can pay.,-1.0,0
2008,1289061,3391671,"Chairman Pai, I'd like to share my thoughts on Net Neutrality and Title II. I would like to demand the commission to overturn The previous administration's scheme to take over the Internet. Individual citizens, rather than so called experts, should be free to enjoy whichever applications we want. The previous administration's scheme to take over the Internet is a perversion of net neutrality. It stopped a pro consumer system that worked fabulously well for many years with nearly universal support.",1.0,1
1052,1146455,3249059,"To whom it may concern, I'm very worried about regulations on the Internet. I want to urge the commissioners to rescind President Obama's plan to control the Internet. Individual citizens, not the FCC, ought to enjoy the services they choose. President Obama's plan to control the Internet is a corruption of net neutrality. It disrupted a hands off policy that worked very successfully for a long time with Republican and Democrat consensus.",1.0,1
400,915103,2840500,"To the FCC, With respect to Internet regulation and net neutrality. I request the government to undo The previous administration's policy to take over broadband. Individual Americans, rather than the FCC Enforcement Bureau, should be able to select the applications they prefer. The previous administration's policy to take over broadband is a perversion of net neutrality. It undid a free market approach that functioned exceptionally well for decades with broad bipartisan approval.",1.0,1
2258,1759971,7110629,Net neutrality is important to the future of the internet. Please protect net neutrality by disallowing throttling of content by ISPs.,-1.0,0
745,1158686,3261290,"To the FCC, I want to give my opinion on Title 2 and net neutrality. I'd like to request Chairman Pai to reverse Barack Obama's scheme to take over the web. Individual Americans, as opposed to Washington bureaucrats, deserve to enjoy whatever applications they desire. Barack Obama's scheme to take over the web is a exploitation of the open Internet. It stopped a light touch system that worked very, very well for two decades with both parties' approval.",1.0,1
257,705957,2558317,"Dear Chairman Pai, I'm very worried about net neutrality rules. I strongly recommend the commission to undo Tom Wheeler's decision to take over Internet access. Citizens, rather than Washington bureaucrats, deserve to buy which applications we want. Tom Wheeler's decision to take over Internet access is a distortion of net neutrality. It ended a hands off approach that functioned very, very smoothly for decades with both parties' approval.",1.0,1
584,1584107,4882826,"Hi, I'd like to comment on the Obama takeover of the Internet. I strongly advocate the FCC to undo Tom Wheeler's policy to take over the Internet. People like me, as opposed to big government, should be empowered to enjoy which products we want. Tom Wheeler's policy to take over the Internet is a corruption of the open Internet. It broke a light touch system that performed remarkably well for decades with broad bipartisan support.",1.0,1
2749,2304362,8432804,The internet's biggest strength is that it is a free place to exchange ideas. If it were handed over to cable companies this strength would disappear.,-1.0,0
