,Unnamed: 0,docid,text_data,dupe_count
19,792613,2717974,"I would like to comment on Internet regulation and net neutrality. I strongly ask the commission to overturn The previous administration's power grab to regulate Internet access. Americans, not so-called experts, should be free to enjoy whichever applications they choose. The previous administration's power grab to regulate Internet access is a exploitation  of net neutrality. It broke a market-based approach that performed remarkably successfully for decades with nearly universal backing.",1.0
20,579891,2269881,"Dear FCC,  In the matter of restoring Internet freedom. I want to implore the Federal Communications Commission to rescind Barack Obama's policy to take over the Internet. Individuals, not the FCC, should be empowered to enjoy which applications we prefer. Barack Obama's policy to take over the Internet is a exploitation  of net neutrality. It stopped a hands-off policy that worked very, very well for many years with bipartisan backing.",1.0
24,1018901,2944303,"FCC commissioners,  I'd like to share my thoughts on NET NEUTRALITY. I'd like to request the commission to reverse The previous administration's order to take over broadband. Citizens, not unelected bureaucrats, should enjoy whatever applications they choose. The previous administration's order to take over broadband is a exploitation  of the open Internet. It reversed a pro-consumer system that performed fabulously smoothly for a long time with both parties' consensus.",1.0
26,1548459,4724757,"To the Federal Communications Commission:  My comments re: the FCC regulations on the Internet. I strongly encourage the government to undo Barack Obama's scheme to regulate the web. Citizens, not big government, deserve to buy the products they prefer. Barack Obama's scheme to regulate the web is a perversion of the open Internet. It ended a pro-consumer policy that functioned exceptionally successfully for two decades with nearly universal consensus.",1.0
28,449442,1187353,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. 

The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. 

I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet ""fast lanes"" by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.

Sincerely,
Thomas Wisniewski",1.0
30,780052,2705413,"Dear FCC,  I want to give my opinion on Net neutrality. I'd like to request Chairman Pai to reverse The previous administration's power grab to control broadband. Internet users, as opposed to Washington bureaucrats, ought to use whichever applications we prefer. The previous administration's power grab to control broadband is a betrayal of net neutrality. It stopped a free-market framework that worked remarkably smoothly for many years with nearly universal support.",1.0
36,1170652,3273256,"I'm concerned about Title 2 and net neutrality. I strongly recommend Ajit Pai to rescind The previous administration's scheme to take over broadband. Individuals, rather than unelected bureaucrats, deserve to enjoy whichever products we choose. The previous administration's scheme to take over broadband is a perversion of net neutrality. It broke a hands-off approach that functioned very well for a long time with both parties' backing.",1.0
39,2424372,10065159,"We need the FCC to defend the rights of millions of Internet users by upholding net neutrality protections. 

The FCC should reject Chairman Ajit Pai’s proposal to give the government-subsidized ISP monopolies like Verizon, AT&T, and Comcast free rein to throttle whatever they please, stripping consumers of the necessary privacy and access safeguards we worked for and won just two years ago. 

I’m afraid of a “pay-to-play” Internet where ISPs can charge more for certain websites because users will have fewer options and a less diverse Internet. Thankfully, the existing FCC regulations ensure that Internet providers can’t block or slow Internet users’ ability to see certain web services or create Internet “fast lanes” by charging websites and online services money to reach customers faster. That’s the right kind of forward-looking approach to make sure competition in the Internet space is fair and benefits Internet users and small businesses as well as larger players. Pai’s proposal would help turn Internet providers into Internet gatekeepers with the ability to veto new innovation and expression. That’s not how the Internet was built, and that's not what we want. 

The internet is a force for good almost unparalleled in human history. In moments we can find the answers to any question we have and be exposed to new and interesting ideas that we would never have seen in a less connected world. The internet is also a source of job creation. Hundreds of thousands of people now owe their living to companies that could not opperate without the internet to give them their customer base, or are able to monetise their creativity to the benefit of all humanity.
If net neutrality is killed, the world will contract and return to a lesser time. Ideas will be lost, comunities will be lost and, for those who rely on the internet for their income, contact and support, lives will be lost.

The answers to humanity's greatest problems will not be found without access to a free and open internet, just as they couldn't exist without clean running water and a stable electricity supply. The internet is a utility, not a comodity, and must stay as such. 

Thank you for keeping Title II net neutrality rules in place to protect Internet users like me.",1.0
40,562676,2235060,"Mr Pai:  Hi, I'd like to comment on net neutrality and Title II. I strongly urge the commission to overturn Tom Wheeler's scheme to control broadband. Citizens, not so-called experts, should be able to buy which applications they desire. Tom Wheeler's scheme to control broadband is a betrayal of the open Internet. It disrupted a market-based framework that functioned exceptionally smoothly for two decades with broad bipartisan approval.",1.0
43,898632,2824019,"I'd like to share my thoughts on the FCC's so-called Open Internet order. I would like to suggest the Federal Communications Commission to rescind Tom Wheeler's order to control the Internet. Americans, not Washington bureaucrats, should be empowered to select which applications we desire. Tom Wheeler's order to control the Internet is a betrayal of the open Internet. It undid a pro-consumer framework that functioned very, very successfully for decades with nearly universal approval.",1.0
45,774113,2699474,"Dear FCC,  I'd like to share my thoughts on internet regulations. I want to urge you to overturn The Obama/Wheeler policy to control the web. Citizens, as opposed to Washington bureaucrats, should select whichever products they desire. The Obama/Wheeler policy to control the web is a betrayal of the open Internet. It broke a pro-consumer policy that worked supremely well for decades with broad bipartisan support.",1.0
47,580576,2271255,"To the Federal Communications Commission:  My comments re: Internet Freedom. I would like to demand the Federal Communications Commission to reverse Obama's order to control the web. Americans, not Washington bureaucrats, should be empowered to use which services they choose. Obama's order to control the web is a exploitation  of net neutrality. It ended a market-based approach that performed exceptionally successfully for a long time with nearly universal consensus.",1.0
49,1164618,3267222,"In reference to Internet regulation. I strongly implore the FCC to overturn The previous administration's plan to control broadband. Internet users, not Washington, should enjoy whichever services we desire. The previous administration's plan to control broadband is a exploitation  of the open Internet. It disrupted a market-based system that functioned very, very well for two decades with Republican and Democrat backing.",1.0
51,1445353,4024013,"Chairman Pai:  I'm very concerned about Title 2 and net neutrality. I would like to request the Federal Communications Commission to overturn Barack Obama's power grab to control Internet access. Individual citizens, as opposed to Washington bureaucrats, should be able to purchase whatever services they want. Barack Obama's power grab to control Internet access is a corruption of net neutrality. It broke a free-market system that performed remarkably smoothly for decades with nearly universal approval.",1.0
52,1472188,4074215,"To the FCC:  My comments re: the FCC's Open Internet order. I would like to encourage Ajit Pai to reverse The Obama/Wheeler order to take over the web. People like me, not big government, should be able to use whichever services they desire. The Obama/Wheeler order to take over the web is a betrayal of net neutrality. It reversed a free-market approach that worked exceptionally well for decades with Republican and Democrat support.",1.0
53,1085758,3012534,"Dear FCC,  I am a voter worried about Net Neutrality and Title II. I want to encourage the Federal Communications Commission to repeal The previous administration's policy to control broadband. Citizens, as opposed to unelected bureaucrats, ought to enjoy the products we want. The previous administration's policy to control broadband is a betrayal of the open Internet. It disrupted a market-based approach that worked very, very well for a long time with broad bipartisan backing.",1.0
54,569580,2248369,"Dear Chairman Pai,  I have thoughts on restoring Internet freedom. I'd like to advocate the commissioners to repeal President Obama's plan to take over the web. Individual Americans, not Washington bureaucrats, should be able to select whatever services we desire. President Obama's plan to take over the web is a perversion of net neutrality. It broke a pro-consumer framework that performed very smoothly for two decades with Republican and Democrat consensus.",1.0
56,1149806,3252410,"FCC commissioners,  I'm very worried about Internet Freedom. I want to suggest the government to undo Tom Wheeler's power grab to regulate the web. Citizens, as opposed to so-called experts, ought to enjoy whatever products they want. Tom Wheeler's power grab to regulate the web is a betrayal of the open Internet. It broke a hands-off system that functioned very, very smoothly for decades with bipartisan consensus.",1.0
57,1766997,7141721,"The FCC needs to stand up for Internet users like me and keep the net neutrality rules that are already in effect. 

The FCC should throw out Chairman Ajit Pai’s plan to hand the telecom giants like Comcast, AT&T, and Verizon free rein to create Internet fast lanes, stripping consumers of the necessary access and privacy safeguards we worked for and just recently won. 

I’m worried about creating a tiered Internet with “fast lanes” for certain sites or services because ISPs could have too much power to determine what I can do online. Thankfully, the existing FCC regulations mean that Internet providers can’t block or slow customers’ access to certain websites or create Internet “fast lanes” by charging websites and online services more money to reach consumers faster. That’s the right kind of forward-looking approach to make sure competition in the Internet space is fair and benefits small businesses and Internet users as well as larger players. Chairman Pai’s proposal would help turn Internet providers into Internet gatekeepers with an effective veto right on innovation and expression. That’s not the kind of Internet we want to pass on to future generations of technology users. 

I use the internet everyday. It matters to me because not only do I get some level of entertainment for it, but also how I keep up with the world on a day to day basis. It matters to me because I have met friends in other countries I would had never met without it. And finally, I'm a gamer. Data caps and slow downs would bring one of my favorite hobbies to a halt. Please, keep the internet free. 

I appreciate you maintaining Title II net neutrality rules and the rights of Internet users like me.",1.0
60,2209084,8105253,"The FCC must protect the open Internet by maintaining net neutrality protections under Title II. 

The FCC should reject Chairman Ajit Pai’s plan to give the telecom giants like Verizon, Comcast, and AT&T the legal cover to throttle whatever they please, stripping users of the necessary access and privacy rules we demanded and so recently won. 

I’m worried about creating a tiered Internet with “fast lanes” for certain sites or services because users will have fewer options and a less diverse Internet. Thankfully, the current FCC regulations mean that ISP monopolies can’t slow or block consumers’ ability to see certain websites or engage in data discrimination by charging online services and websites more money to reach consumers faster. That’s exactly the right balance to make sure competition in the Internet space is fair and benefits consumers and small businesses as well as entrenched Internet companies. Pai’s proposed repeal of the rules would transform ISPs into gatekeepers with the ability to veto new expression and innovation. That’s not how the Internet was built, and that's not what we want. 

Internet matters to me because it's a great way to share my art, my thoughts, my writings and it's a great way to make new friends. 

I appreciate you maintaining Title II net neutrality rules and the rights of Internet users like me.",1.0
61,913816,2839213,"To whom it may concern:  Hi, I'd like to comment on Title 2 and net neutrality. I'd like to encourage the government to repeal Tom Wheeler's policy to regulate Internet access. Citizens, rather than so-called experts, deserve to select whatever services we choose. Tom Wheeler's policy to regulate Internet access is a exploitation  of the open Internet. It stopped a free-market framework that functioned very well for two decades with bipartisan consensus.",1.0
64,1571290,4826485,"My comments re: net neutrality. I want to implore the Federal Communications Commission to rescind President Obama's scheme to regulate the Internet. Individual Americans, as opposed to Washington, should be free to buy whichever applications we prefer. President Obama's scheme to regulate the Internet is a betrayal of net neutrality. It reversed a free-market approach that performed supremely successfully for many years with broad bipartisan backing.",1.0
68,2914785,21803972,"The FCC must protect the open Internet by maintaining net neutrality protections under Title II. Please reject arguments that prioritize the business interests of an ISP over my right to communicate and assemble online. 

The FCC should reject Chairman Ajit Pai’s proposal to give the telecom giants like Comcast, AT&T, and Verizon the legal cover to create Internet fast lanes, stripping consumers of the meaningful privacy and access safeguards we worked for and just recently won. 

I’m concerned about ISPs being allowed to discriminate against certain types of data or websites because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that ISPs can’t slow or block Internet users’ access to certain web services or engage in data discrimination by charging websites and online services money to reach consumers faster. That’s exactly the right balance to make sure competition in the Internet space is fair and benefits consumers and small businesses as well as larger players. Pai’s proposed repeal of the rules would help turn ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That’s contrary to the basic precepts on which the Internet was built. 

The internet matters to me because it is one of the only places where everyone's voice can be heard and removing that right would be against freedom of speech. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.",1.0
69,1096605,3199203,"Dear FCC,  I'm a voter worried about net neutrality and Title II. I recommend Ajit Pai to undo Tom Wheeler's plan to regulate the web. Internet users, not Washington, should be able to purchase whatever products they prefer. Tom Wheeler's plan to regulate the web is a betrayal of net neutrality. It stopped a market-based policy that performed fabulously smoothly for decades with bipartisan backing.",1.0
70,1251619,3354226,"Chairman Pai:  I'm very worried about an open Internet. I strongly encourage the Federal Communications Commission to rescind The Obama/Wheeler decision to control the web. Individuals, rather than unelected bureaucrats, deserve to use whichever services we prefer. The Obama/Wheeler decision to control the web is a distortion of the open Internet. It disrupted a pro-consumer approach that performed supremely well for a long time with both parties' support.",1.0
72,1517844,4589917,"To the Federal Communications Commission:  I have concerns about Network Neutrality. I want to ask the Federal Communications Commission to rescind The Obama/Wheeler scheme to regulate the web. Americans, not the FCC, deserve to select the applications we want. The Obama/Wheeler scheme to regulate the web is a perversion of the open Internet. It disrupted a market-based system that worked very, very smoothly for two decades with nearly universal backing.",1.0
73,445349,1181377,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. 

The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. 

I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet ""fast lanes"" by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.

Sincerely,
Tim Griggs",1.0
74,846266,2771634,"Dear Mr. Pai,  I am a voter worried about NET NEUTRALITY. I want to encourage the government to overturn Tom Wheeler's decision to take over the web. Individual citizens, as opposed to Washington bureaucrats, should be able to select which services we prefer. Tom Wheeler's decision to take over the web is a betrayal of net neutrality. It stopped a light-touch system that functioned supremely well for many years with nearly universal consensus.",1.0
76,1446877,4026474,"Mr Pai:  I am a voter worried about Net Neutrality and Title II. I'd like to advocate the commission to overturn The Obama/Wheeler plan to control the web. Individuals, rather than unelected bureaucrats, deserve to select whichever applications we desire. The Obama/Wheeler plan to control the web is a corruption of net neutrality. It reversed a pro-consumer approach that worked remarkably well for decades with Republican and Democrat support.",1.0
77,1136952,3239556,"To whom it may concern:  I am concerned about net neutrality regulations. I want to advocate Ajit Pai to overturn President Obama's policy to regulate broadband. Internet users, as opposed to the FCC Enforcement Bureau, should be able to buy which services they choose. President Obama's policy to regulate broadband is a corruption of the open Internet. It undid a pro-consumer approach that functioned remarkably successfully for a long time with Republican and Democrat backing.",1.0
79,2261340,8207596,"The FCC should stand up for Internet users by safeguarding net neutrality. 

The FCC should throw out Chairman Ajit Pai’s proposal to give the telecom giants like Verizon, Comcast, and AT&T free rein to throttle whatever they please, stripping Internet users of the meaningful privacy and access protections we demanded and won just two years ago. 

I’m afraid of a “pay-to-play” Internet where ISPs can charge more for certain websites because users will have fewer options and a less diverse Internet. Thankfully, the current FCC regulations mean that Internet providers can’t slow or block users’ ability to see certain websites or create Internet “fast lanes” by charging online services and websites money to reach people faster. That’s the right kind of forward-looking approach to make sure competition in the Internet space is fair and benefits small businesses and Internet users as well as larger players. Pai’s proposal would help turn Internet providers into Internet gatekeepers with an effective veto right on expression and innovation. That’s not the kind of Internet we want to pass on to future generations of technology users. 

The internet is one of the greatest accomplishments of the human race in recent years, and it's due in very large part to how open and free it is- all of human knowledge, available at anyone's fingertips with just a quick search.
That would change if Net Neutrality were to be abolished, and the internet would become a case of the few already popular websites being the only ones to ever feasibly continue to exist. New websites would have to pay a fee to bypass being slowed, and users would have to pay a fee just to use them- who wants to take that risk?
So, new websites would only be started by businesses that can swallow the cost. No new websites like Facebook, say, that were started by single people with some spare time.

The internet matters, and it matters to keep it the way it is. 

Thanks for protecting Internet users like me by upholding the existing Title II net neutrality rules.",1.0
83,1051132,2976539,"To the Federal Communications Commission:  My comments re: network neutrality regulations. I strongly encourage the commission to reverse Barack Obama's plan to take over Internet access. Internet users, as opposed to unelected bureaucrats, should be free to buy which applications they want. Barack Obama's plan to take over Internet access is a perversion of the open Internet. It ended a pro-consumer policy that performed exceptionally successfully for many years with bipartisan consensus.",1.0
87,1524690,4619675,"To the Federal Communications Commission:  Regarding Net Neutrality and Title II. I would like to implore the commissioners to repeal Barack Obama's policy to regulate the Internet. Individuals, rather than big government, should be free to enjoy whatever products we want. Barack Obama's policy to regulate the Internet is a perversion of net neutrality. It ended a free-market policy that worked supremely smoothly for decades with both parties' consensus.",1.0
90,1190420,3293024,"Mr Pai:  Hi, I'd like to comment on Title II rules. I'd like to implore Chairman Pai to reverse Barack Obama's power grab to control Internet access. Citizens, rather than the FCC, should be empowered to use whatever products they want. Barack Obama's power grab to control Internet access is a betrayal of net neutrality. It stopped a light-touch framework that worked remarkably well for a long time with nearly universal consensus.",1.0
91,1576049,4847510,"To the Federal Communications Commission:  Hi, I'd like to comment on Title 2 and net neutrality. I strongly recommend Chairman Pai to overturn The Obama/Wheeler decision to regulate Internet access. Internet users, rather than big government, should be empowered to purchase the products they desire. The Obama/Wheeler decision to regulate Internet access is a exploitation  of the open Internet. It stopped a hands-off policy that performed exceptionally well for decades with both parties' approval.",1.0
92,399176,1114517,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. 

The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. 

I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet ""fast lanes"" by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.

Sincerely,
James Barry",1.0
93,1561890,4784464,"To the Federal Communications Commission:  With respect to Internet regulation. I would like to ask the FCC to overturn Obama's decision to control broadband. Individual citizens, as opposed to Washington, should be able to enjoy whichever services we want. Obama's decision to control broadband is a corruption of net neutrality. It undid a pro-consumer framework that performed remarkably successfully for decades with both parties' consensus.",1.0
94,1017699,2943101,"Chairman Pai:  I'd like to share my thoughts on net neutrality and Title II. I want to encourage you to repeal Tom Wheeler's scheme to regulate broadband. People like me, as opposed to unelected bureaucrats, deserve to purchase which services we want. Tom Wheeler's scheme to regulate broadband is a perversion of the open Internet. It reversed a hands-off system that functioned supremely successfully for two decades with Republican and Democrat approval.",1.0
96,977091,2902488,"FCC commissioners,  I'd like to share my thoughts on Network Neutrality. I'd like to advocate the commissioners to overturn Barack Obama's order to regulate broadband. Individuals, not the FCC Enforcement Bureau, ought to buy which products we choose. Barack Obama's order to regulate broadband is a corruption of net neutrality. It reversed a light-touch policy that performed fabulously smoothly for a long time with broad bipartisan approval.",1.0
101,1466534,4065001,"Dear Commissioners:  My comments re: the Obama takeover of the Internet. I urge the commissioners to overturn President Obama's policy to regulate the Internet. Americans, as opposed to the FCC, should be free to purchase the products we want. President Obama's policy to regulate the Internet is a perversion of net neutrality. It disrupted a pro-consumer approach that functioned supremely well for decades with broad bipartisan consensus.",1.0
102,774861,2700222,"FCC commissioners,  My comments re: net neutrality rules. I implore Chairman Pai to repeal President Obama's decision to take over the Internet. Citizens, rather than big government, should purchase whatever products they desire. President Obama's decision to take over the Internet is a distortion of net neutrality. It reversed a light-touch approach that worked very, very well for decades with bipartisan approval.",1.0
104,1301087,3414284,"Dear Mr. Pai,  I am a voter worried about net neutrality rules. I want to encourage the Federal Communications Commission to rescind Tom Wheeler's power grab to regulate broadband. Individuals, rather than the FCC Enforcement Bureau, should purchase whatever products we desire. Tom Wheeler's power grab to regulate broadband is a exploitation  of net neutrality. It disrupted a hands-off approach that performed supremely successfully for many years with bipartisan consensus.",1.0
105,1237728,3340335,"To the FCC:  I would like to comment on net neutrality and Title II. I strongly demand the commission to rescind Tom Wheeler's plan to take over Internet access. Individual citizens, rather than big government, should be free to purchase whichever services we prefer. Tom Wheeler's plan to take over Internet access is a betrayal of the open Internet. It undid a hands-off policy that functioned remarkably successfully for a long time with broad bipartisan approval.",1.0
108,1075738,3002240,"FCC:  My comments re: the Obama takeover of the Internet. I want to urge you to reverse President Obama's plan to regulate the web. Individual citizens, as opposed to the FCC Enforcement Bureau, should be able to enjoy which products they want. President Obama's plan to regulate the web is a perversion of the open Internet. It reversed a pro-consumer approach that performed fabulously successfully for a long time with Republican and Democrat consensus.",1.0
110,573413,2256564,"Dear FCC,  I am concerned about net neutrality. I would like to request Chairman Pai to undo The previous administration's decision to control broadband. Americans, rather than the FCC Enforcement Bureau, ought to buy whatever services we prefer. The previous administration's decision to control broadband is a betrayal of the open Internet. It stopped a free-market policy that worked very, very successfully for a long time with Republican and Democrat approval.",1.0
111,1266974,3369581,"To whom it may concern:  In reference to net neutrality regulations. I would like to implore the government to overturn The previous administration's order to take over broadband. Individual Americans, as opposed to the FCC Enforcement Bureau, should enjoy the applications they want. The previous administration's order to take over broadband is a perversion of net neutrality. It undid a hands-off system that performed remarkably smoothly for decades with both parties' approval.",1.0
114,849055,2774423,"I have concerns about the FCC rules on the Internet. I urge Ajit Pai to repeal Tom Wheeler's power grab to control broadband. Citizens, as opposed to big government, should be empowered to use whatever services they choose. Tom Wheeler's power grab to control broadband is a corruption of net neutrality. It ended a pro-consumer system that performed remarkably well for a long time with broad bipartisan approval.",1.0
115,2157695,8009665,"We need the FCC to defend the rights of millions of Internet users by upholding net neutrality protections. 

The FCC should reject Chairman Ajit Pai’s plan to hand the government-subsidized ISP monopolies like Verizon, AT&T, and Comcast free rein to throttle whatever they please, stripping consumers of the vital access and privacy safeguards we fought for and just recently won. 

I’m concerned about ISPs being allowed to discriminate against certain types of data or websites because ISPs could have too much power to determine what I can do online. Thankfully, the current Open Internet rules mean that ISP monopolies can’t slow or block Internet users’ ability to see certain websites or create Internet “fast lanes” by charging websites and online services more money to reach people faster. That’s the best way forward to make sure competition in the Internet space is fair and benefits Internet users and small businesses as well as entrenched Internet companies. Pai’s proposal would help turn Internet providers into gatekeepers with the ability to veto new expression and innovation. That’s not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.",1.0
117,1124854,3227458,"Dear Commissioners:  I want to give my opinion on the Obama takeover of the Internet. I would like to recommend the Federal Communications Commission to repeal Barack Obama's order to take over the web. Individuals, as opposed to unelected bureaucrats, should be able to enjoy which services they choose. Barack Obama's order to take over the web is a corruption of the open Internet. It ended a pro-consumer system that worked very, very well for decades with Republican and Democrat backing.",1.0
119,870979,2796357,"To the FCC:  I'm contacting you about Title 2 and net neutrality. I want to encourage Chairman Pai to rescind Obama's power grab to take over broadband. Individuals, as opposed to the FCC Enforcement Bureau, deserve to purchase the services they prefer. Obama's power grab to take over broadband is a corruption of the open Internet. It disrupted a free-market framework that performed very, very successfully for a long time with Republican and Democrat consensus.",1.0
121,1264263,3366870,"With respect to the FCC's Open Internet order. I ask you to reverse President Obama's policy to take over Internet access. Internet users, rather than unelected bureaucrats, should be empowered to select whichever services we prefer. President Obama's policy to take over Internet access is a perversion of the open Internet. It broke a free-market approach that performed remarkably successfully for decades with both parties' backing.",1.0
